ShowCount,GeneralCount,GoodRateShow,GoodRateStyle,GeneralRateShow,Score2Count,AverageScore,PoorRateStyle,CommentCount,GoodRate,AfterCount,PoorRate,GeneralRate,ProductId,SkuId,GeneralRateStyle,Score5Count,Score4Count,PoorRateShow,GoodCount,PoorCount,Score1Count,Score3Count
13,2,93,140,3,1,5,6,70,0.93,0,0.042,0.028,10079531320,10079531320,4,64,1,4,65,3,3,1
0,0,100,150,0,0,5,0,4,1.0,0,0.0,0.0,11157230255,11157230255,0,4,0,0,4,0,0,0
6,31,97,146,2,11,5,2,2019,0.972,0,0.013,0.015,1463229541,1463229541,2,1900,61,1,1961,27,27,20
6,1,94,141,1,1,5,7,81,0.939,0,0.049,0.012,1718213758,1718213758,2,73,3,5,76,4,4,0
23,1,98,146,1,0,5,2,96,0.98,1,0.01,0.01,10227403586,10227403586,2,88,6,1,94,1,1,1
127,36,96,144,3,6,5,2,1345,0.963,7,0.011,0.026,10046777493,10046777493,4,1238,56,1,1294,15,15,30
0,2,100,150,0,1,5,0,518,0.996,0,0.001,0.003,10284865668,10284865668,0,514,1,0,515,1,1,1
4,1,100,150,0,0,5,0,336,0.998,2,0.0,0.002,10494188381,10494188381,0,333,2,0,335,0,0,1
3,0,100,150,0,0,5,0,31,1.0,0,0.0,0.0,10572726833,10572726833,0,30,1,0,31,0,0,0
17,1,99,148,1,0,5,0,71,0.986,0,0.0,0.014,2233998,2233998,2,67,3,0,70,0,0,1
20,1,97,146,1,0,5,3,109,0.973,4,0.018,0.009,10992661938,10992661938,1,103,3,2,106,2,2,1
2,2,100,150,0,1,5,0,521,0.996,0,0.001,0.003,10127166966,10127166966,0,515,3,0,518,1,1,1
0,0,100,150,0,0,5,0,45,1.0,0,0.0,0.0,10504822744,10504822744,0,45,0,0,45,0,0,0
9,0,100,150,0,0,5,0,131,1.0,0,0.0,0.0,10233290080,10233290080,0,128,3,0,131,0,0,0
1,1,96,144,4,0,5,0,25,0.96,0,0.0,0.04,11556154954,11556154954,6,23,1,0,24,0,0,1
17,3,92,140,4,1,5,5,82,0.928,0,0.036,0.036,10299493892,10299493892,5,70,6,4,76,3,3,2
23,2,97,147,2,0,5,1,124,0.976,0,0.008,0.016,10361903565,10361903565,2,117,4,1,121,1,1,2
1,0,100,150,0,0,5,0,40,1.0,0,0.0,0.0,10879062075,10879062075,0,40,0,0,40,0,0,0
89,10,96,146,2,1,5,2,653,0.97,4,0.015,0.015,10611684660,10611684660,2,610,23,2,633,10,10,9
0,6,97,146,2,2,5,1,263,0.971,0,0.007,0.022,1467320335,1467320335,3,252,3,1,255,2,2,4
0,0,100,150,0,0,5,0,8,1.0,0,0.0,0.0,11641901097,11641901097,0,8,0,0,8,0,0,0
7,1,99,148,0,0,5,1,247,0.988,0,0.008,0.004,10099784809,10099784809,1,244,0,1,244,2,2,1
